ZipCode,Population,,,
40214,"47,343",,,
40216,"43,454",,,
40299,"39,745",,,
40219,"38,626",,,
40272,"37,829",,,
40291,"37,772",,,
40229,"37,629",,,
40220,"34,176",,,
40218,"31,919",,,
40207,"31,543",,,
40245,"30,831",,,
40241,"30,127",,,
40258,"27,221",,,
40211,"23,615",,,
40223,"23,228",,,
40205,"23,002",,,
40215,"22,485",,,
40222,"21,631",,,
40203,"19,939",,,
40206,"19,670",,,
40212,"17,848",,,
40213,"17,360",,,
40228,"17,161",,,
40210,"14,847",,,
40204,"14,217",,,
40217,"12,627",,,
40208,"11,645",,,
40242,"10,981",,,
40243,"10,381",,,
40202,"4,267",,,
40209,414,,,
